year,month,precip,tmax,tmin,tmed,PET,BAL,SPEI1,SPEI3,SPEI6,SPEI9,SPEI12,SPEI24,year_cont
1960,5,58.3,11.2,1.4129032258064516,6.306451612903225,30.472441101755674,27.827558898244323,1.3680597764989235,1.5237956510320545,0.20014599619700343,-1.1707406843246237,-0.8153984774157831,-0.45078311703540314,1960.3333333333333
1960,6,170.70000000000002,6.113333333333333,0.2966666666666667,3.205,17.51599784713011,153.1840021528699,2.1333962528053028,2.0603100365743963,1.6404184354707434,-0.13980805602166704,-0.09682511386414189,0.14256553952759665,1960.4166666666667
1960,7,163,5.290322580645161,-2.9612903225806453,1.1645161290322579,7.697586788510468,155.30241321148952,1.1645107026563974,1.8411989737309542,1.803645348146604,0.9354435321473792,0.15948347995345766,0.7446054631126644,1960.5
1960,8,51.5,8.63225806451613,-1.0258064516129033,3.8032258064516133,25.21921888855608,26.28078111144392,-1.0988444254844105,1.062777347217161,1.572099789410118,0.9313051867235362,-0.21297549190361334,0.9725759583235991,1960.5833333333333
1961,5,98.6,9.49090909090909,-1.1483870967741936,4.171260997067448,29.675715728152902,68.92428427184709,-0.4139883101520798,-0.2652025502067964,1.368822798856999,1.0721973894613877,-0.2222610282620443,1.3038650382974726,1961.3333333333333
1961,6,127.60000000000001,5.88,-1.72,2.08,14.981697416378044,112.61830258362197,0.4746195920716383,-0.7773465391757135,1.0866481651270035,1.3458087226413566,0.2493308431661152,1.803952576174702,1961.4166666666667
1961,7,141.3,5.761290322580645,-1.3290322580645162,2.2161290322580642,13.349481015210927,127.95051898478908,1.4415853708162323,0.6719720853209259,1.3075566307423194,1.8296001186376403,1.088401052133498,2.133075644772922,1961.5
1961,8,117.8,8.596774193548388,0.2516129032258065,4.424193548387097,25.974424711941246,91.82557528805876,1.4737873313194827,1.6451223946889961,0.9908101529552688,2.1107934551520877,1.9291479426981843,2.105676913082479,1961.5833333333333
1961,9,65.3,7.64,0.26,3.9499999999999997,19.940352508369894,45.3596474916301,1.4365924025306998,1.7136469582194311,0.8669860561003652,1.970035221565975,2.0812712051596236,1.7807035209797915,1961.6666666666667
1961,10,17,13.870967741935484,0.9999999999999999,7.435483870967742,33.56868463462593,-16.56868463462593,0.6607784659739724,1.5177030136472607,1.4161564662452544,1.877338867402828,2.1421258536125616,1.6108720120626836,1961.75
1961,11,19.799999999999997,16.183333333333334,3.4066666666666667,9.795,39.41697587395851,-19.616975873958516,0.5781446671084542,1.140617637564504,1.6381427029831344,1.3402975306525045,2.183951088487624,1.5128775870228308,1961.8333333333333
1961,12,0.6,20.48709677419355,4.451612903225806,12.469354838709677,52.66520132071741,-52.06520132071741,-0.4767699648727167,0.2508766099217738,1.4708900162361438,0.8343832137988102,1.952585110533119,1.0369230503228837,1961.9166666666667
1962,1,8.1,22.125806451612902,5.912903225806452,14.019354838709678,65.34681691114737,-57.24681691114737,-1.3244487673827365,-0.6503403664841443,1.0021243741481909,1.1598293344274344,1.7534703090730306,0.6934245284151609,1962
1962,2,43.699999999999996,24.45,5.375,14.9125,76.04735810671502,-32.34735810671503,-1.005279909159423,-1.4228352531830772,-0.03403066557388774,1.1790756027612321,0.8268729574131903,0.5376539599368257,1962.0833333333333
1962,3,43.1,21.24516129032258,5.161290322580645,13.203225806451613,78.23382218021058,-35.13382218021058,-1.6115171055117326,-1.7054422204870587,-1.5596306493951142,0.4253785456359206,-0.24085720920798528,-0.03715171885230266,1962.1666666666667
1962,4,34.9,13.973333333333333,0.2766666666666666,7.125,45.92883558397956,-11.028835583979564,-1.6013112562701428,-1.8147410207931403,-1.8787371893302935,-1.0488020863759169,-0.4156143454372257,-0.4419571177360201,1962.25
1962,5,28.9,9.82857142857143,0.45517241379310347,5.1418719211822665,36.237912741911096,-7.337912741911097,-1.599963884333198,-1.959102225025192,-2.205210321490366,-1.970989713663957,-0.8057643183481886,-0.7313003317561385,1962.3333333333333
1962,6,102.60000000000001,7.555172413793104,-0.43448275862068964,3.560344827586207,25.030901066385578,77.56909893361443,-0.13228404061667132,-1.599431046347266,-2.018478313205669,-2.0218419189831267,-1.0150594667215678,-0.5550068067147393,1962.4166666666667
1962,7,89,7.319354838709677,-3.8129032258064517,1.7532258064516129,10.673090162895278,78.32690983710472,0.840013103682492,-0.6437947049612932,-1.6363676084114394,-1.8092720945682779,-1.226621640756606,-0.07103761121251037,1962.5
1962,8,156.6,8.17741935483871,0.20322580645161287,4.190322580645161,24.661618940646413,131.9383810593536,1.8377707324674786,1.3572732482762984,-1.0999816651224115,-1.4929347497469918,-1.0919780936579038,0.6225699994194253,1962.5833333333333
1962,9,43.300000000000004,11.175862068965516,-1.4166666666666665,4.879597701149425,24.39977459693622,18.900225403063786,1.0626781783598782,1.5394258106707355,-0.34587108234254227,-1.234957612745717,-1.1481861426437252,0.8121564313399015,1962.6666666666667
1962,10,2.2,16.870967741935484,0.7225806451612903,8.796774193548387,39.41486890303886,-37.214868903038855,-0.04662823554627312,1.4737715818514388,0.4745172369044319,-1.093074710391366,-1.2153528132999742,0.879996744587627,1962.75
1962,11,25.4,18.66,5.236666666666666,11.948333333333334,47.65398720608651,-22.253987206086514,0.5000095442243038,0.6315950909966589,1.2062784113116964,-0.8715351278033513,-1.2709352254813149,0.8942895182903013,1962.8333333333333
1962,12,6,21.196774193548386,6.267741935483871,13.732258064516127,57.74770138026432,-51.74770138026432,-0.4593075604512993,-0.1735702354143635,1.2090571589330077,-0.4011972417333205,-1.2606771672242527,0.592966062246462,1962.9166666666667
1963,1,8.5,20.725806451612904,5.096774193548387,12.911290322580646,60.40551034572312,-51.90551034572312,-0.9974939548831802,-0.5728511548685121,0.9786296980218615,0.23272220868533622,-1.2868013364683726,0.3462291118159582,1963
1963,2,6.6000000000000005,25.02857142857143,7.185714285714286,16.107142857142858,81.85492901431286,-75.25492901431286,-2.3145032396969905,-2.2520107661920314,-1.1280128969779901,0.34299907474321156,-1.4604671177389361,-0.4982866481890268,1963.0833333333333
1963,3,29.099999999999998,17.21290322580645,4.716129032258064,10.964516129032257,65.51460790744311,-36.41460790744311,-1.6432188422181906,-2.1179548729663114,-2.2865483036651817,-0.26515450350880243,-1.5505357486415319,-1.1446815652956959,1963.1666666666667
1963,4,103.89999999999999,14.09,4.683333333333334,9.386666666666667,59.761249111685956,44.138750888314036,-0.8488756741838631,-1.7537658916671757,-1.8094283534095479,-0.9962369804244051,-1.308086378367132,-1.0897683013504151,1963.25
1963,5,51.9,9.638709677419355,-0.3096774193548387,4.664516129032258,33.018269303754465,18.881730696245533,-1.1997463649383053,-1.6014393041803656,-2.0419876061047892,-2.003878730705404,-1.086000180015945,-1.2355128901433836,1963.3333333333333
1963,6,102.7,6.9,-1.6500000000000001,2.625,18.710058297237577,83.98994170276242,-0.020088074066934674,-1.1499452087415574,-1.858971150978147,-1.9354678185244816,-1.0666097842707503,-1.3562189923728376,1963.4166666666667
1963,7,53,6.990322580645161,0.5225806451612903,3.7564516129032257,22.09658222219329,30.90341777780671,0.04235590016716068,-0.7648062876681796,-1.647593469131738,-1.811731295445451,-1.260220645125766,-1.6494780208938602,1963.5
1963,8,78.2,7.483870967741936,-1.4193548387096773,3.0322580645161294,18.107868987088874,60.092131012911125,1.0986329241681285,0.46297070270491886,-1.2491447330828305,-1.787628290301715,-1.5691436620889496,-1.6793770338305427,1963.5833333333333
1963,9,143.9,8.4,-0.03333333333333332,4.183333333333334,21.063745899679045,122.83625410032096,2.084267042468801,1.4593142041125469,0.13315049473477314,-1.0690505976919007,-1.1022582291600043,-1.4422826020787098,1963.6666666666667
1963,10,36.199999999999996,14.022580645161291,2.0161290322580645,8.019354838709678,36.08160916725035,0.11839083274964679,1.0554662729337292,1.8617906243875035,0.8102761047262489,-0.764335093211063,-0.9116269654914196,-1.416817768756663,1963.75
1963,11,25,13.113333333333333,2.6,7.8566666666666665,31.93231061306303,-6.932310613063031,0.9013383799492056,1.8180662893726596,1.417559541222548,-0.18687114446265332,-0.849932159692616,-1.3871943958077728,1963.8333333333333
1963,12,11,19.596774193548388,4.906451612903226,12.251612903225807,51.78662492931775,-40.78662492931775,0.06153915758743493,0.8192544132550792,1.4265630887400098,0.42376369024986427,-0.8033666425099155,-1.3665509604904977,1963.9166666666667
1964,1,5.1,22.558064516129033,6.451612903225806,14.504838709677419,67.50616330915936,-62.40616330915936,-1.6820806804680113,-0.20594892166141793,1.4115212444163177,0.6590826640740889,-0.8962967434751762,-1.3985612133251262,1964
1964,3,13.7,17.925806451612903,3.2483870967741937,10.587096774193549,54.82909616229696,-41.12909616229696,-1.2641916481126234,-1.4771943469217443,0.8858905873809677,0.8622918100627308,-0.771987132793304,-1.4211722146561534,1964.1666666666667
1964,4,113.3,14.293333333333333,2.1566666666666667,8.225,49.78606382526294,63.513936174737054,0.23399270078151324,-0.8144493358698609,-0.2926158248371865,0.870446283791822,-0.1622004168533469,-1.1015941777269795,1964.25
1964,5,55.6,10.306451612903226,1.4838709677419355,5.895161290322581,38.326788853945246,17.273211146054756,-1.222811649999652,-1.0950492868360884,-1.140825641817697,0.35107692278298713,-0.27426379549226,-1.0121273959825006,1964.3333333333333
1964,6,74.9,5.81,-1.1466666666666667,2.3316666666666666,17.028525796805916,57.87147420319409,-0.5876528998517591,-0.9997537362698645,-1.4045401535114321,-0.33678978368003276,-0.03582071081090391,-0.790075863438243,1964.4166666666667
1964,7,80.9,6.638709677419355,-1.596774193548387,2.520967741935484,18.001309023211867,62.89869097678814,-0.38669519939853797,-1.20036044789368,-1.4311594598385275,-1.2410055478528066,-0.1906312413945348,-0.8692792545929305,1964.5
1964,8,132.8,7.983870967741936,0.34838709677419355,4.166129032258064,24.39244435752372,108.4075556424763,1.2284360948863222,0.0305686858877847,-0.9184939576995752,-0.9936323250400773,0.16020123148756454,-0.7563099705158317,1964.5833333333333
1964,9,81.2,9.456666666666667,-1.67,3.8933333333333335,22.989715933271107,58.210284066728896,1.0731795842494631,0.9259876866651104,-0.3877456602061029,-0.860419423207402,0.1099496386542924,-1.008188668708674,1964.6666666666667
1964,10,40.8,16.24516129032258,1.3774193548387097,8.811290322580646,42.90243528952466,-2.1024352895246636,0.6462190556475557,1.1740255166096432,-0.25357245757752195,-0.7290219406354556,-0.501549740805931,-1.0447899743062359,1964.75
1964,11,15.3,17.543333333333333,3.3133333333333335,10.428333333333333,46.368558087537515,-31.068558087537514,0.1965647261428773,0.7865196753212786,0.4234430278653895,-0.5270469426095109,-0.6261308822270114,-1.041743150920524,1964.8333333333333
1964,12,55.3,18.106451612903225,6.7387096774193544,12.42258064516129,49.45866466210421,5.841335337895785,1.1586962184739893,0.785608265209968,0.9661098008088053,-0.05152630309972672,-0.5509006934640616,-0.9646721724141021,1964.9166666666667
1965,1,49.199999999999996,21.2,7.974193548387097,14.587096774193547,61.17590332862966,-11.975903328629663,0.9205339650443828,0.9355233325856211,1.253507499633392,0.13544519650642645,-0.4145486889078892,-0.8333192605486415,1965
1965,2,69.2,17.978571428571428,7.9071428571428575,12.942857142857143,60.546536527829275,8.653463472170728,1.058280051890739,1.2496069330048674,1.1983889297459762,0.9348607865864496,-0.03252448300108941,-0.6076708838562553,1965.0833333333333
1965,3,38.400000000000006,20.761290322580646,4.541935483870968,12.651612903225807,64.99733046688665,-26.597330466886646,-0.8382804772352098,0.385365408373978,0.6703923650544231,1.0183790027337811,-0.017814330412323907,-0.42942781898942867,1965.1666666666667
